2021-06-27 20:06:787 INFO  ComputerPage :28 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (e9efe849add9be2a7495e79fb9ff1c7a)] -> link text: Desktops]
2021-06-27 20:06:85 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 20:06:31 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (e2d553cd2ad32085aa11fb478c44d8b2)] -> link text: Computers]
2021-06-27 20:06:151 INFO  ComputerPage :28 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (e2d553cd2ad32085aa11fb478c44d8b2)] -> link text: Desktops]
2021-06-27 20:06:488 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 20:06:650 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (77b095b35a2ce94156b14ba4383bd226)] -> link text: Computers]
2021-06-27 20:06:822 INFO  ComputerPage :28 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (77b095b35a2ce94156b14ba4383bd226)] -> link text: Desktops]
2021-06-27 20:06:207 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 20:06:622 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (7a7bbd97c6eb399ca44b98ca69a5c749)] -> link text: Computers]
2021-06-27 20:06:743 INFO  ComputerPage :28 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (7a7bbd97c6eb399ca44b98ca69a5c749)] -> link text: Desktops]
2021-06-27 20:06:879 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 20:06:311 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (3cd0287ac29bcb25091ef13bb8c47071)] -> link text: Computers]
2021-06-27 20:06:434 INFO  ComputerPage :28 - Clicking on desktops link : Proxy element for: DefaultElementLocator 'By.xpath: //body/div[6]/div[3]/div[2]/div[2]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/a[1]/img[1]'
2021-06-27 20:06:936 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 20:06:83 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (e1929f1fb76732c0070b31c46f08cb10)] -> link text: Computers]
2021-06-27 20:06:169 INFO  ComputerPage :28 - Clicking on desktops link : Proxy element for: DefaultElementLocator 'By.xpath: //body/div[6]/div[3]/div[2]/div[2]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/a[1]/img[1]'
2021-06-27 20:06:303 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 20:06:139 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (a23c347a26e6a3790ecd41bd82b8537f)] -> link text: Computers]
2021-06-27 20:06:306 INFO  ComputerPage :28 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (a23c347a26e6a3790ecd41bd82b8537f)] -> link text: Desktops]
2021-06-27 20:06:20 INFO  ComputerPage :36 - Select position from drop down :[[ChromeDriver: chrome on WINDOWS (a23c347a26e6a3790ecd41bd82b8537f)] -> xpath: //select[@id='products-orderby']]
2021-06-27 20:06:74 INFO  ComputerPage :41 - Get list of products : [[[ChromeDriver: chrome on WINDOWS (a23c347a26e6a3790ecd41bd82b8537f)] -> xpath: //h2[@class='product-title']], [[ChromeDriver: chrome on WINDOWS (a23c347a26e6a3790ecd41bd82b8537f)] -> xpath: //h2[@class='product-title']], [[ChromeDriver: chrome on WINDOWS (a23c347a26e6a3790ecd41bd82b8537f)] -> xpath: //h2[@class='product-title']]]
2021-06-27 20:06:285 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 20:06:265 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (52eeae06d9a8f67cf7c77a39e4094bca)] -> link text: Computers]
2021-06-27 20:06:382 INFO  ComputerPage :28 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (52eeae06d9a8f67cf7c77a39e4094bca)] -> link text: Desktops]
2021-06-27 20:06:245 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 20:06:129 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (05a7ccdae40ff0d3b076570ef0e59443)] -> link text: Computers]
2021-06-27 20:06:101 INFO  ComputerPage :28 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (05a7ccdae40ff0d3b076570ef0e59443)] -> link text: Desktops]
2021-06-27 20:06:425 INFO  ComputerPage :36 - Select position from drop down :[[ChromeDriver: chrome on WINDOWS (05a7ccdae40ff0d3b076570ef0e59443)] -> xpath: //select[@id='products-orderby']]
2021-06-27 20:06:484 INFO  ComputerPage :41 - Get list of products : [[[ChromeDriver: chrome on WINDOWS (05a7ccdae40ff0d3b076570ef0e59443)] -> xpath: //h2[@class='product-title']], [[ChromeDriver: chrome on WINDOWS (05a7ccdae40ff0d3b076570ef0e59443)] -> xpath: //h2[@class='product-title']], [[ChromeDriver: chrome on WINDOWS (05a7ccdae40ff0d3b076570ef0e59443)] -> xpath: //h2[@class='product-title']]]
2021-06-27 20:06:455 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 20:06:246 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (a724cea20c365e58481e3b8812b25ad2)] -> link text: Computers]
2021-06-27 20:06:662 INFO  ComputerPage :28 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (a724cea20c365e58481e3b8812b25ad2)] -> link text: Desktops]
2021-06-27 20:06:939 INFO  ComputerPage :36 - Select position from drop down :[[ChromeDriver: chrome on WINDOWS (a724cea20c365e58481e3b8812b25ad2)] -> xpath: //select[@id='products-orderby']]
2021-06-27 20:06:395 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 20:06:434 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (bc4d97bf5b760f99eb48197dd0ac442d)] -> link text: Computers]
2021-06-27 20:06:636 INFO  ComputerPage :28 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (bc4d97bf5b760f99eb48197dd0ac442d)] -> link text: Desktops]
2021-06-27 20:06:188 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 20:06:610 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (15a2763c247f592a2d18f3134892611c)] -> link text: Computers]
2021-06-27 20:06:911 INFO  ComputerPage :28 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (15a2763c247f592a2d18f3134892611c)] -> link text: Desktops]
2021-06-27 20:06:250 INFO  ComputerPage :36 - Select position from drop down :[[ChromeDriver: chrome on WINDOWS (15a2763c247f592a2d18f3134892611c)] -> xpath: //select[@id='products-orderby']]
2021-06-27 20:06:435 INFO  BuildYourOwnComputerPage :51 - Click on add to cart button [[ChromeDriver: chrome on WINDOWS (15a2763c247f592a2d18f3134892611c)] -> xpath: //div[@class='item-box'][1]//button[text()='Add to cart']]
2021-06-27 20:06:654 INFO  BuildYourOwnComputerPage :57 - Verify User Navigate to Build your own Computer product page [[ChromeDriver: chrome on WINDOWS (15a2763c247f592a2d18f3134892611c)] -> xpath: //h1[contains(text(),'Build your own computer')]]
